,aircraft_type,carrier,fleet_count,F,fleet_full,in_net_ratio
0,631,OO,0.19636983281389675,0.4420481329379584,65,0.006800740506737821
1,461,OO,3.164248900727212,6.011482337229934,59,0.1018895311394904
2,638,OO,0.0002054794520547945,0.00021925204957675738,17,1.289717938686808e-05
3,629,OO,2.1346411988991907,5.6186475292697295,125,0.04494918023415784
4,482,QX,1.091386563504143,2.9757151492056817,33,0.09017318633956611
5,491,QX,1.7352953238626756,3.1992684885069433,17,0.1881922640298202
6,631,QX,1.6525396825396825,5.984219075392148,21,0.2849628131139118
7,616,WN,0.8361642093179386,2.355598530393482,25,0.09422394121573928
8,619,WN,13.782540476773356,37.47854068275395,195,0.19219764452694335
9,612,WN,14.078434033875817,0.0,0,0.10673679335600915
10,674,XE,0.4335134449518011,0.0,0,0.0
11,675,XE,1.4350014254306491,0.0,0,0.0
12,698,US,0.9167965499746322,3.499103578953744,93,0.03762476966616929
13,619,US,0.846480001691189,4.625666674133993,51,0.09069934655164692
14,699,US,0.2765128107559615,0.5337923363955713,28,0.019064012014127548
15,622,US,0.0883862675460849,0.24576607388323018,41,0.005994294484956834
16,694,US,1.1770108826358827,5.8668842380037685,75,0.07822512317338358
17,617,AS,2.7555991965571494,12.6173651959535,40,0.3154341298988375
18,634,AS,1.1931867432626562,4.273495757482438,12,0.3561246464568698
19,612,AS,1.7235679684977627,6.8164928998482885,22,0.3098405863567404
20,614,AS,0.9771757601015594,4.345642051945063,29,0.14984972592914012
21,655,AS,2.6735634907822883,9.484343727189867,15,0.6322895818126577
22,698,HP,2.1751356575100873,0.0,0,0.16811782452544868
23,619,HP,1.9234278224734846,0.0,0,0.3658897528562813
24,622,HP,0.17499374260104855,0.0,0,0.055197792088316475
25,694,HP,2.536817351598174,0.0,0,0.15515330971716693
26,456,MQ,1.1863191273465246,0.0,0,0.12510856086235259
27,676,MQ,2.2571795197023508,6.026755821639422,59,0.10214840375660038
28,631,MQ,0.00018772196854388636,0.0001818139869876356,25,7.272559479505424e-06
29,625,AA,0.0029572552004058857,0.0,0,0.0002855698655110526
30,626,AA,0.0012810755961440894,0.0,0,2.081365328081155e-05
31,622,AA,0.0033016235413495694,0.0033154851992479857,129,2.570143565308516e-05
32,655,AA,0.7100523422966345,1.853860607227948,311,0.0059609665827265205
33,626,UA,0.0018990587179323862,0.0,0,0.0006272428497475927
34,627,UA,0.00024987316083206496,0.00635953061756223,52,0.00012229866572235058
35,694,UA,2.246668583347426,5.9554539164884,97,0.06139643212874639
36,616,UA,0.7908620807992954,2.8277946138238597,30,0.09425982046079533
37,698,UA,0.7739427570991498,1.9855504104701818,55,0.036100916554003305
38,619,UA,1.5332936595790478,5.947187584359178,64,0.09292480600561216
39,622,UA,1.182716133942161,3.357277442427282,97,0.03461110765388951
