1.29,-0.0045,0.5,1,-92901,325.12
1.29,-0.0045,0.5,2,-1.5881e+05,401.03
1.29,-0.0045,0.5,3,-2.0465e+05,456.87
1.29,-0.0045,0.5,4,-2.3881e+05,501.03
1.29,-0.0045,0.5,5,-2.6538e+05,537.6
1.29,-0.0045,0.5,6,-2.8664e+05,568.87
1.29,-0.0045,0.5,7,-3.0397e+05,596.19
1.29,-0.0045,0.5,8,-3.1826e+05,620.49
1.29,-0.0045,0.5,9,-3.3014e+05,642.37
1.29,-0.0045,0.5,10,-3.4006e+05,662.28
1.29,-0.0045,0.5,11,-3.4834e+05,680.56
1.29,-0.0045,0.5,12,-3.5523e+05,697.46
1.29,-0.0045,0.5,13,-3.6095e+05,713.17
1.29,-0.0045,0.5,14,-3.6564e+05,727.86
1.29,-0.0045,0.5,15,-3.6944e+05,741.66
1.29,-0.0045,0.5,16,-3.7244e+05,754.66
1.29,-0.0045,0.5,17,-3.7474e+05,766.97
1.29,-0.0045,0.5,18,-3.7642e+05,778.64
1.29,-0.0045,0.5,19,-3.7753e+05,789.75
1.29,-0.0045,0.5,20,-3.7812e+05,800.34
