1.29,-0.0045,1,1,1,-1.0111e+05,-1.0111e+05,-1.0111e+05
1.29,-0.0045,1,1,2,-75242,-75243,-1.5854e+05
1.29,-0.0045,1,1,3,-62798,-62802,-1.98e+05
1.29,-0.0045,1,1,4,-55215,-55218,-2.2743e+05
1.29,-0.0045,1,1,5,-49995,-49998,-2.5037e+05
1.29,-0.0045,1,1,6,-46128,-46131,-2.6872e+05
1.29,-0.0045,1,1,7,-43118,-43120,-2.8366e+05
1.29,-0.0045,1,1,8,-40689,-40690,-2.9593e+05
1.29,-0.0045,1,1,9,-38675,-38677,-3.0608e+05
1.29,-0.0045,1,1,10,-36971,-36973,-3.1449e+05
1.29,-0.0045,1,1,11,-35504,-35505,-3.2144e+05
1.29,-0.0045,1,1,12,-34224,-34225,-3.2715e+05
1.29,-0.0045,1,1,13,-33093,-33094,-3.318e+05
1.29,-0.0045,1,1,14,-32085,-32086,-3.3553e+05
1.29,-0.0045,1,1,15,-31178,-31179,-3.3844e+05
1.29,-0.0045,1,1,16,-30357,-30358,-3.4064e+05
1.29,-0.0045,1,1,17,-29609,-29610,-3.422e+05
1.29,-0.0045,1,1,18,-28923,-28924,-3.4318e+05
1.29,-0.0045,1,1,19,-28292,-28292,-3.4365e+05
1.29,-0.0045,1,1,20,-27707,-27708,-3.4365e+05
1.29,-0.0045,1,2,1,-75242,-1.5854e+05,-75243
1.29,-0.0045,1,2,2,-54167,-1.2087e+05,-1.2087e+05
1.29,-0.0045,1,2,3,-43986,-1.0128e+05,-1.5289e+05
1.29,-0.0045,1,2,4,-37797,-88876,-1.7708e+05
1.29,-0.0045,1,2,5,-33559,-80150,-1.9604e+05
1.29,-0.0045,1,2,6,-30436,-73596,-2.1125e+05
1.29,-0.0045,1,2,7,-28007,-68435,-2.2361e+05
1.29,-0.0045,1,2,8,-26066,-64256,-2.3374e+05
1.29,-0.0045,1,2,9,-24465,-60776,-2.4205e+05
1.29,-0.0045,1,2,10,-23115,-57822,-2.4886e+05
1.29,-0.0045,1,2,11,-21958,-55272,-2.5441e+05
1.29,-0.0045,1,2,12,-20951,-53043,-2.5887e+05
1.29,-0.0045,1,2,13,-20066,-51073,-2.6241e+05
1.29,-0.0045,1,2,14,-19278,-49314,-2.6512e+05
