1.2900,-0.0045,0.5000,1.0000,-92901.2252,325.1234
1.2900,-0.0045,0.5000,2.0000,-158811.5988,401.0338
1.2900,-0.0045,0.5000,3.0000,-204651.6975,456.8739
1.2900,-0.0045,0.5000,4.0000,-238806.1965,501.0284
1.2900,-0.0045,0.5000,5.0000,-265381.5264,537.6037
1.2900,-0.0045,0.5000,6.0000,-286643.7916,568.8660
1.2900,-0.0045,0.5000,7.0000,-303971.1953,596.1934
1.2900,-0.0045,0.5000,8.0000,-318264.2210,620.4864
1.2900,-0.0045,0.5000,9.0000,-330143.8921,642.3661
1.2900,-0.0045,0.5000,10.0000,-340056.8625,662.2791
1.2900,-0.0045,0.5000,11.0000,-348335.3153,680.5575
1.2900,-0.0045,0.5000,12.0000,-355233.1410,697.4554
1.2900,-0.0045,0.5000,13.0000,-360948.8441,713.1711
1.2900,-0.0045,0.5000,14.0000,-365640.6274,727.8628
1.2900,-0.0045,0.5000,15.0000,-369436.6560,741.6589
1.2900,-0.0045,0.5000,16.0000,-372442.2419,754.6645
1.2900,-0.0045,0.5000,17.0000,-374744.9971,766.9672
1.2900,-0.0045,0.5000,18.0000,-376418.6066,778.6408
1.2900,-0.0045,0.5000,19.0000,-377525.6459,789.7479
1.2900,-0.0045,0.5000,20.0000,-378119.7169,800.3419
