1.0000,1.0000,15.4586
1.0000,2.0000,14.2372
1.0000,3.0000,14.7803
2.0000,1.0000,15.3882
3.0000,1.0000,15.2295
4.0000,1.0000,3.3584
4.0000,2.0000,0.0000
4.0000,3.0000,0.0000
5.0000,1.0000,18.8188
5.0000,2.0000,18.2959
6.0000,1.0000,19.0389
6.0000,2.0000,8.6894
7.0000,1.0000,13.3408
7.0000,2.0000,0.9284
7.0000,3.0000,4.3787
8.0000,1.0000,10.8354
8.0000,2.0000,9.8493
8.0000,3.0000,12.5322
9.0000,1.0000,11.0068
9.0000,2.0000,7.0314
10.0000,1.0000,10.6725
10.0000,2.0000,7.4284
11.0000,1.0000,21.1263
11.0000,2.0000,5.0507
12.0000,1.0000,4.3822
13.0000,1.0000,4.9761
13.0000,2.0000,1.0625
14.0000,1.0000,19.4712
14.0000,2.0000,8.8597
15.0000,1.0000,16.3110
15.0000,2.0000,17.9233
16.0000,1.0000,14.9509
16.0000,2.0000,7.1084
17.0000,1.0000,23.1220
17.0000,2.0000,6.7205
18.0000,1.0000,16.4257
18.0000,2.0000,9.2685
18.0000,3.0000,5.3192
19.0000,1.0000,13.3425
19.0000,2.0000,4.9096
20.0000,1.0000,14.6571
21.0000,1.0000,0.0000
21.0000,2.0000,5.8233
21.0000,3.0000,2.2877
22.0000,1.0000,8.9607
22.0000,2.0000,2.3990
23.0000,1.0000,16.3234
24.0000,1.0000,4.8101
24.0000,2.0000,13.2401
25.0000,1.0000,4.5384
26.0000,1.0000,14.0713
26.0000,2.0000,11.8282
27.0000,1.0000,0.0000
28.0000,1.0000,3.7986
29.0000,1.0000,11.8279
30.0000,1.0000,14.4153
31.0000,1.0000,0.0000
31.0000,2.0000,1.4031
31.0000,3.0000,0.0000
32.0000,1.0000,0.0000
33.0000,1.0000,30.0836
33.0000,2.0000,7.1877
34.0000,1.0000,6.4798
34.0000,2.0000,6.2865
34.0000,3.0000,2.5370
35.0000,1.0000,0.0000
35.0000,2.0000,1.1409
35.0000,3.0000,2.3027
36.0000,1.0000,7.5128
36.0000,2.0000,3.8986
37.0000,1.0000,20.7214
37.0000,2.0000,9.7911
38.0000,1.0000,10.4364
38.0000,2.0000,0.0000
38.0000,3.0000,0.0000
39.0000,1.0000,3.2540
39.0000,2.0000,4.8513
40.0000,1.0000,3.8819
40.0000,2.0000,7.6338
41.0000,1.0000,8.4198
41.0000,2.0000,4.2921
42.0000,1.0000,8.2913
43.0000,1.0000,12.2235
43.0000,2.0000,6.0981
43.0000,3.0000,12.7013
44.0000,1.0000,12.1477
44.0000,2.0000,8.5726
45.0000,1.0000,15.1561
46.0000,1.0000,11.2721
46.0000,2.0000,11.4792
47.0000,1.0000,11.4989
47.0000,2.0000,0.0000
48.0000,1.0000,11.8513
48.0000,2.0000,2.5518
49.0000,1.0000,6.8849
